Item Identifier,Item Type,Item Fat Content,Item Weight,Item Visibility,Outlet Identifier,Outlet Establishment Year,Outlet Size,Outlet Location Type,Outlet Type,Sales,Rating
NCR54,Household,Low Fat,13.15,0.158563,OUT019,2018,Small,Tier 1,Grocery Store,194.71,5.0
NCT06,Household,Low Fat,13.15,0.067824,OUT019,2018,Small,Tier 1,Grocery Store,167.78,5.0
FDN15,Meat,Low Fat,12.35,0.029299,OUT019,2018,Small,Tier 1,Grocery Store,140.32,5.0
FDJ45,Seafood,Low Fat,11.65,0.128533,OUT019,2018,Small,Tier 1,Grocery Store,34.22,5.0
FDL13,Breakfast,Regular,10.7,0.098607,OUT019,2018,Small,Tier 1,Grocery Store,232.73,5.0
FDL02,Canned,Regular,12.15,0.182237,OUT019,2018,Small,Tier 1,Grocery Store,107.16,5.0
FDF56,Fruits and Vegetables,Regular,13.1,0.209163,OUT019,2018,Small,Tier 1,Grocery Store,179.2,5.0
FDQ27,Meat,Regular,12.35,0.077481,OUT019,2018,Small,Tier 1,Grocery Store,101.4,5.0
FDG35,Starchy Foods,Regular,13.18,0.012328,OUT019,2018,Small,Tier 1,Grocery Store,173.87,5.0
FDD38,Canned,Regular,12.15,0.014343,OUT019,2018,Small,Tier 1,Grocery Store,103.77,5.0
FDE41,Frozen Foods,Regular,12.85,0.0,OUT019,2018,Small,Tier 1,Grocery Store,83.76,5.0
FDP24,Baking Goods,Low Fat,20.6,0.083004,OUT046,2016,Small,Tier 1,Supermarket Type1,119.48,5.0
FDH38,Canned,Low Fat,6.42,0.010438,OUT046,2016,Small,Tier 1,Supermarket Type1,115.88,5.0
FDT49,Canned,Low Fat,7.0,0.151406,OUT046,2016,Small,Tier 1,Supermarket Type1,107.73,5.0
FDN02,Canned,Low Fat,16.5,0.073828,OUT046,2016,Small,Tier 1,Supermarket Type1,208.86,5.0
DRF27,Dairy,Low Fat,8.93,0.028417,OUT046,2016,Small,Tier 1,Supermarket Type1,154.53,5.0
FDT02,Dairy,Low Fat,12.6,0.024195,OUT046,2016,Small,Tier 1,Supermarket Type1,36.19,5.0
FDF05,Frozen Foods,Low Fat,17.5,0.026871,OUT046,2016,Small,Tier 1,Supermarket Type1,264.49,5.0
FDI45,Fruits and Vegetables,Low Fat,13.1,0.037581,OUT046,2016,Small,Tier 1,Supermarket Type1,175.51,5.0
FDZ20,Fruits and Vegetables,Low Fat,16.1,0.034307,OUT046,2016,Small,Tier 1,Supermarket Type1,252.34,5.0
NCC42,Health and Hygiene,Low Fat,15.0,0.044908,OUT046,2016,Small,Tier 1,Supermarket Type1,140.28,5.0
NCQ53,Health and Hygiene,Low Fat,17.6,0.018905,OUT046,2016,Small,Tier 1,Supermarket Type1,234.66,5.0
NCR54,Household,Low Fat,16.35,0.090562,OUT046,2016,Small,Tier 1,Supermarket Type1,198.21,5.0
NCX06,Household,Low Fat,17.6,0.015687,OUT046,2016,Small,Tier 1,Supermarket Type1,182.7,5.0
NCO06,Household,Low Fat,19.25,0.10803,OUT046,2016,Small,Tier 1,Supermarket Type1,32.46,5.0
NCN54,Household,Low Fat,20.35,0.021326,OUT046,2016,Small,Tier 1,Supermarket Type1,76.13,5.0
FDL27,Meat,Low Fat,6.17,0.010631,OUT046,2016,Small,Tier 1,Supermarket Type1,65.98,5.0
FDV51,Meat,Low Fat,16.35,0.032539,OUT046,2016,Small,Tier 1,Supermarket Type1,165.78,5.0
FDC46,Snack Foods,Low Fat,17.7,0.116542,OUT046,2016,Small,Tier 1,Supermarket Type1,182.63,5.0
FDZ58,Snack Foods,Low Fat,17.85,0.052177,OUT046,2016,Small,Tier 1,Supermarket Type1,122.81,5.0
FDN21,Snack Foods,Low Fat,18.6,0.076856,OUT046,2016,Small,Tier 1,Supermarket Type1,161.02,5.0
FDO58,Snack Foods,Low Fat,19.6,0.039577,OUT046,2016,Small,Tier 1,Supermarket Type1,166.15,5.0
DRD24,Soft Drinks,Low Fat,13.85,0.030795,OUT046,2016,Small,Tier 1,Supermarket Type1,143.32,5.0
DRI37,Soft Drinks,Low Fat,15.85,0.107598,OUT046,2016,Small,Tier 1,Supermarket Type1,58.79,5.0
FDI12,Baking Goods,Regular,9.4,0.100399,OUT046,2016,Small,Tier 1,Supermarket Type1,89.69,5.0
FDP12,Baking Goods,Regular,9.8,0.045267,OUT046,2016,Small,Tier 1,Supermarket Type1,36.99,5.0
FDO01,Breakfast,Regular,21.1,0.020719,OUT046,2016,Small,Tier 1,Supermarket Type1,130.5,5.0
FDZ37,Canned,Regular,8.1,0.019769,OUT046,2016,Small,Tier 1,Supermarket Type1,88.62,5.0
FDJ15,Dairy,Regular,11.35,0.023322,OUT046,2016,Small,Tier 1,Supermarket Type1,182.56,5.0
FDM04,Frozen Foods,Regular,9.2,0.047121,OUT046,2016,Small,Tier 1,Supermarket Type1,53.17,5.0
FDI40,Frozen Foods,Regular,11.5,0.125603,OUT046,2016,Small,Tier 1,Supermarket Type1,100.84,5.0
FDX04,Frozen Foods,Regular,19.6,0.041572,OUT046,2016,Small,Tier 1,Supermarket Type1,49.94,5.0
FDS15,Meat,Regular,9.2,0.078061,OUT046,2016,Small,Tier 1,Supermarket Type1,106.36,5.0
FDJ57,Seafood,Regular,7.42,0.021574,OUT046,2016,Small,Tier 1,Supermarket Type1,184.66,5.0
FDG21,Seafood,Regular,17.35,0.1463,OUT046,2016,Small,Tier 1,Supermarket Type1,150.4,5.0
FDW21,Snack Foods,Regular,5.34,0.005964,OUT046,2016,Small,Tier 1,Supermarket Type1,99.54,5.0
FDX10,Snack Foods,Regular,6.38,0.123711,OUT046,2016,Small,Tier 1,Supermarket Type1,37.19,5.0
DRI51,Dairy,Low Fat,17.25,0.0,OUT045,2015,Medium,Tier 2,Supermarket Type1,171.58,5.0
NCZ17,Health and Hygiene,Low Fat,12.15,0.0,OUT017,2020,Medium,Tier 2,Supermarket Type1,39.15,5.0
DRE25,Soft Drinks,Low Fat,15.35,0.073698,OUT017,2020,Medium,Tier 2,Supermarket Type1,91.91,5.0
FDT60,Baking Goods,Low Fat,12.0,0.075702,OUT045,2015,Medium,Tier 2,Supermarket Type1,124.64,5.0
FDN24,Baking Goods,Low Fat,14.1,0.113497,OUT045,2015,Medium,Tier 2,Supermarket Type1,56.2,5.0
FDO37,Breakfast,Low Fat,8.06,0.02142,OUT045,2015,Medium,Tier 2,Supermarket Type1,232.03,5.0
FDI14,Canned,Low Fat,14.1,0.08986,OUT045,2015,Medium,Tier 2,Supermarket Type1,140.25,5.0
FDW37,Canned,Low Fat,19.2,0.124302,OUT045,2015,Medium,Tier 2,Supermarket Type1,89.75,5.0
DRC27,Dairy,Low Fat,13.8,0.05822,OUT045,2015,Medium,Tier 2,Supermarket Type1,247.48,5.0
FDK16,Frozen Foods,Low Fat,9.06,0.115564,OUT045,2015,Medium,Tier 2,Supermarket Type1,96.01,5.0
FDK41,Frozen Foods,Low Fat,14.3,0.1278,OUT045,2015,Medium,Tier 2,Supermarket Type1,83.62,5.0
FDY31,Fruits and Vegetables,Low Fat,5.98,0.043651,OUT045,2015,Medium,Tier 2,Supermarket Type1,146.14,5.0
FDT20,Fruits and Vegetables,Low Fat,10.5,0.041479,OUT045,2015,Medium,Tier 2,Supermarket Type1,36.82,5.0
FDI45,Fruits and Vegetables,Low Fat,13.1,0.037657,OUT045,2015,Medium,Tier 2,Supermarket Type1,175.81,5.0
FDG57,Fruits and Vegetables,Low Fat,14.7,0.072445,OUT045,2015,Medium,Tier 2,Supermarket Type1,48.6,5.0
FDN32,Fruits and Vegetables,Low Fat,17.5,0.015592,OUT045,2015,Medium,Tier 2,Supermarket Type1,184.83,5.0
FDX19,Fruits and Vegetables,Low Fat,19.1,0.09693,OUT045,2015,Medium,Tier 2,Supermarket Type1,233.9,5.0
FDP20,Fruits and Vegetables,Low Fat,19.85,0.045762,OUT045,2015,Medium,Tier 2,Supermarket Type1,125.6,5.0
NCR17,Health and Hygiene,Low Fat,9.8,0.024433,OUT045,2015,Small,Tier 2,Supermarket Type1,116.45,5.0
NCT17,Health and Hygiene,Low Fat,10.8,0.041951,OUT045,2015,Small,Tier 2,Supermarket Type1,190.02,5.0
NCU05,Health and Hygiene,Low Fat,11.8,0.058855,OUT045,2015,Small,Tier 2,Supermarket Type1,79.16,5.0
NCT42,Household,Low Fat,5.88,0.024938,OUT045,2015,Small,Tier 2,Supermarket Type1,148.44,5.0
NCV18,Household,Low Fat,6.78,0.105459,OUT045,2015,Small,Tier 2,Supermarket Type1,84.62,5.0
NCH43,Household,Low Fat,8.42,0.070712,OUT045,2015,Small,Tier 2,Supermarket Type1,216.42,5.0
NCE18,Household,Low Fat,10.0,0.021469,OUT045,2015,Small,Tier 2,Supermarket Type1,251.68,5.0
NCC18,Household,Low Fat,19.1,0.17763,OUT045,2015,Small,Tier 2,Supermarket Type1,173.94,5.0
NCJ42,Household,Low Fat,19.75,0.01433,OUT045,2015,Small,Tier 2,Supermarket Type1,104.23,5.0
FDQ10,Snack Foods,Low Fat,12.85,0.033247,OUT045,2015,Small,Tier 2,Supermarket Type1,172.44,5.0
FDL34,Snack Foods,Low Fat,16.0,0.041029,OUT045,2015,Small,Tier 2,Supermarket Type1,142.65,5.0
DRK37,Soft Drinks,Low Fat,5.0,0.0,OUT045,2015,Small,Tier 2,Supermarket Type1,189.85,5.0
DRF48,Soft Drinks,Low Fat,5.73,0.051907,OUT045,2015,Small,Tier 2,Supermarket Type1,188.19,5.0
DRG49,Soft Drinks,Low Fat,7.81,0.067592,OUT045,2015,Small,Tier 2,Supermarket Type1,246.05,5.0
FDX60,Baking Goods,Low Fat,14.35,0.08105,OUT017,2020,Small,Tier 2,Supermarket Type1,79.2,5.0
FDS13,Canned,Low Fat,6.46,0.12521,OUT017,2020,Small,Tier 2,Supermarket Type1,266.89,5.0
FDC50,Canned,Low Fat,15.85,0.13727,OUT017,2020,Small,Tier 2,Supermarket Type1,94.41,5.0
FDK51,Dairy,Low Fat,19.85,0.005265,OUT017,2020,Small,Tier 2,Supermarket Type1,264.59,5.0
FDD17,Frozen Foods,Low Fat,7.5,0.032812,OUT017,2020,Small,Tier 2,Supermarket Type1,239.69,5.0
FDJ28,Frozen Foods,Low Fat,12.3,0.021985,OUT017,2020,Small,Tier 2,Supermarket Type1,191.22,5.0
FDP16,Frozen Foods,Low Fat,18.6,0.039517,OUT017,2020,Small,Tier 2,Supermarket Type1,243.68,5.0
FDB20,Fruits and Vegetables,Low Fat,7.72,0.052275,OUT017,2020,Small,Tier 2,Supermarket Type1,79.2,5.0
FDP56,Fruits and Vegetables,Low Fat,8.18,0.046747,OUT017,2020,Small,Tier 2,Supermarket Type1,49.97,5.0
FDT43,Fruits and Vegetables,Low Fat,16.35,0.020664,OUT017,2020,Small,Tier 2,Supermarket Type1,50.83,5.0
DRI59,Hard Drinks,Low Fat,9.5,0.041066,OUT017,2020,Small,Tier 2,Supermarket Type1,223.51,5.0
DRN47,Hard Drinks,Low Fat,12.1,0.016922,OUT017,2020,Small,Tier 2,Supermarket Type1,178.37,5.0
DRM23,Hard Drinks,Low Fat,16.6,0.136501,OUT017,2020,Small,Tier 2,Supermarket Type1,173.34,5.0
NCN53,Health and Hygiene,Low Fat,5.18,0.030527,OUT017,2020,Small,Tier 2,Supermarket Type1,33.59,5.0
NCT53,Health and Hygiene,Low Fat,5.4,0.048388,OUT017,2020,Small,Tier 2,Supermarket Type1,163.05,5.0
NCQ05,Health and Hygiene,Low Fat,11.4,0.0,OUT017,2020,Small,Tier 2,Supermarket Type1,149.27,5.0
NCM53,Health and Hygiene,Low Fat,18.75,0.052335,OUT017,2020,Small,Tier 2,Supermarket Type1,108.13,5.0
NCX42,Household,Low Fat,6.36,0.006012,OUT017,2020,Small,Tier 2,Supermarket Type1,163.05,5.0
NCT18,Household,Low Fat,14.6,0.059741,OUT017,2020,High,Tier 2,Supermarket Type1,179.7,5.0
NCI30,Household,Low Fat,20.25,0.059269,OUT017,2020,High,Tier 2,Supermarket Type1,246.45,5.0
NCE54,Household,Low Fat,20.7,0.027052,OUT017,2020,High,Tier 2,Supermarket Type1,73.94,5.0
FDH19,Meat,Low Fat,19.35,0.033276,OUT017,2020,High,Tier 2,Supermarket Type1,173.87,5.0
FDT03,Meat,Low Fat,21.25,0.010055,OUT017,2020,High,Tier 2,Supermarket Type1,183.16,5.0
NCN19,Others,Low Fat,13.1,0.012168,OUT017,2020,High,Tier 2,Supermarket Type1,190.25,5.0
NCQ43,Others,Low Fat,17.75,0.111931,OUT017,2020,High,Tier 2,Supermarket Type1,108.89,5.0
FDK09,Snack Foods,Low Fat,15.2,0.092282,OUT017,2020,High,Tier 2,Supermarket Type1,227.24,5.0
FDV46,Snack Foods,Low Fat,18.2,0.012679,OUT017,2020,High,Tier 2,Supermarket Type1,139.82,5.0
FDY46,Snack Foods,Low Fat,18.6,0.048161,OUT017,2020,High,Tier 2,Supermarket Type1,188.99,5.0
FDK26,Canned,Regular,5.46,0.032243,OUT045,2015,High,Tier 2,Supermarket Type1,187.62,5.0
FDI50,Canned,Regular,8.42,0.030905,OUT045,2015,High,Tier 2,Supermarket Type1,227.64,5.0
FDB26,Canned,Regular,14.0,0.031331,OUT045,2015,High,Tier 2,Supermarket Type1,52.36,5.0
FDY49,Canned,Regular,17.2,0.012036,OUT045,2015,High,Tier 2,Supermarket Type1,165.72,5.0
FDB04,Dairy,Regular,11.35,0.063355,OUT045,2015,High,Tier 2,Supermarket Type1,88.99,5.0
FDA02,Dairy,Regular,14.0,0.029783,OUT045,2015,High,Tier 2,Supermarket Type1,146.38,5.0
FDZ28,Frozen Foods,Regular,20.0,0.051597,OUT045,2015,High,Tier 2,Supermarket Type1,128.07,5.0
FDE17,Frozen Foods,Regular,20.1,0.054566,OUT045,2015,High,Tier 2,Supermarket Type1,152.24,5.0
FDQ19,Fruits and Vegetables,Regular,7.35,0.014394,OUT045,2015,High,Tier 2,Supermarket Type1,241.35,5.0
FDM08,Fruits and Vegetables,Regular,10.1,0.053693,OUT045,2015,High,Tier 2,Supermarket Type1,222.91,5.0
FDP03,Meat,Regular,5.15,0.061301,OUT045,2015,High,Tier 2,Supermarket Type1,122.14,5.0
FDU58,Snack Foods,Regular,6.61,0.0,OUT045,2015,High,Tier 2,Supermarket Type1,186.49,5.0
FDU46,Snack Foods,Regular,10.3,0.011149,OUT045,2015,High,Tier 2,Supermarket Type1,84.85,5.0
FDY34,Snack Foods,Regular,10.5,0.011004,OUT045,2015,High,Tier 2,Supermarket Type1,167.18,5.0
FDO09,Snack Foods,Regular,13.5,0.125529,OUT045,2015,High,Tier 2,Supermarket Type1,262.19,5.0
FDP48,Baking Goods,Regular,7.52,0.044272,OUT017,2020,High,Tier 2,Supermarket Type1,181.4,5.0
FDI12,Baking Goods,Regular,9.4,0.100967,OUT017,2020,High,Tier 2,Supermarket Type1,86.89,5.0
FDY12,Baking Goods,Regular,9.8,0.141406,OUT017,2020,High,Tier 2,Supermarket Type1,50.0,5.0
FDX48,Baking Goods,Regular,17.75,0.038102,OUT017,2020,High,Tier 2,Supermarket Type1,154.07,5.0
FDV60,Baking Goods,Regular,20.2,0.118025,OUT017,2020,High,Tier 2,Supermarket Type1,195.81,5.0
